SOC,OCV_sam1_0degC,OCV_sam1_25degC,OCV_sam1_45degC,OCV_sam2_0degC,OCV_sam2_25degC,OCV_sam2_45degC
0.64,3.813933474000768,3.745223328403565,3.797767404823121,3.7963263150945594,3.7965487837927676,3.803457988384093
0.65,3.822169651289154,3.7532128536748015,3.8063209781251883,3.8055360761066277,3.8052557497519617,3.8122627384440957
0.66,3.830301618929005,3.761330277856465,3.8148751048822604,3.814560856506297,3.8139020732647873,3.8210434678487726
0.67,3.8383851784655802,3.7695662327662465,3.8234800134567983,3.823441989381209,3.8225372328863685,3.8298428492278367
0.68,3.84647613144414,3.7779113502218356,3.832185932211262,3.8322329769898413,3.831210707171829,3.838703555210997
0.6900000000000001,3.8546302794099425,3.7863562620409232,3.841043089508114,3.840987315173412,3.839971974676294,3.847668258427965
0.7000000000000001,3.8629034239082483,3.79489156723995,3.8501014910366194,3.849752476000149,3.8488705125601292,3.8567796315084513
0.71,3.871346949065461,3.8034993401084876,3.8593920122565857,3.858558727723106,3.857949226046714,3.866075289545849
0.72,3.879978634131203,3.8121418375293197,3.8689018408332427,3.8674332872098454,3.8672274174832655,3.8755635973517997
0.73,3.8887890333302573,3.8207913957104696,3.8786106612935543,3.8764033713279327,3.876702908361265,3.8852307236333
0.74,3.897767117534234,3.829451878301409,3.888498158164487,3.88549619694493,3.886364392536799,3.895060995476393
0.75,3.9069018576147436,3.8381318754084934,3.898544015973007,3.894735483755265,3.8962004762868956,3.9050387399671247
0.76,3.9161822244433964,3.846839977138075,3.908727919246079,3.9041192841669563,3.90619976588858,3.915148284191538
0.77,3.9255971888918024,3.855584773596508,3.9190295525106693,3.913634216109541,3.91635086761888,3.9253739552356772
0.78,3.9351357218315712,3.864374854890144,3.9294286002937433,3.923266845052784,3.9266423877548213,3.935700080185587
0.79,3.9447867941343144,3.873218811125338,3.939904747122267,3.9330037364664467,3.937062932573431,3.9461109861273105
0.8,3.954539376671642,3.882125232408442,3.9504379302218027,3.9428323047657656,3.9476011085275267,3.9565910001468936
0.81,3.964382682505466,3.8911027088458106,3.9610167386228072,3.9527475457099968,3.9582481210042157,3.9671267690640555
0.8200000000000001,3.9743122230582415,3.900159830543796,3.9716454844065687,3.962748441717358,3.969003345179557,3.977717046962428
0.8300000000000001,3.984330241236068,3.9093051876087515,3.982331039388921,3.9728340107150997,3.979857473014842,3.9883682173703368
0.84,3.9944393088800947,3.918547370147031,3.9930802753856947,3.9830034970740154,3.9907946341017966,3.999087226555236
0.85,4.004641997831473,3.9278949682649875,4.003900064212722,3.993261351734567,4.0017988629446695,4.0098810207845785
0.86,4.014940879931354,3.9373565720689747,4.014797277685836,4.003617231300387,4.012854194047705,4.0207565463258135
0.87,4.025338527020887,3.946940771665345,4.025778787620867,4.01408101863736,4.023944661915151,4.031720749446396
0.88,4.0358375109412234,3.956656157160452,4.0368514658336485,4.024662596611369,4.035054301051256,4.042780576413776
0.89,4.046440403533515,3.9665113186606495,4.048022184140011,4.0353718480883,4.046167145960263,4.053942973495407
0.9,4.05714977663891,3.9765148462722903,4.05929781435579,4.046218655934037,4.057267231146421,4.06521488695874
0.91,4.067968202098562,3.986675330101728,4.070685228296814,4.057212903014465,4.068338591113976,4.076603263071228
0.92,4.078898251753621,3.9970013602553154,4.082191297778916,4.068364472195466,4.0793709935743045,4.088115048100323
0.93,4.089942497445236,4.007501526839405,4.093822894617929,4.079683246342926,4.0904286346258525,4.099757188313476
0.9400000000000001,4.101103511014559,4.018184419960353,4.105586890629684,4.091179108322731,4.101627701182066,4.11153662997814
0.9500000000000001,4.112383864302739,4.02905862972451,4.117490157630014,4.1028619410007625,4.113085443990903,4.123460319361767
0.96,4.123786129150931,4.04013274623823,4.129539567434751,4.114741627242905,4.124919113800319,4.13553520273181
0.97,4.135312877400279,4.0514153596078675,4.1417419918597265,4.126828049915046,4.137245961358273,4.147768226355719
0.98,4.146966680891942,4.0629150599397725,4.154104302720772,4.139131091883067,4.150183237412722,4.160166336500948
0.99,4.1587501114670635,4.074640437340303,4.16663337183372,4.151660636012853,4.163848192711621,4.172736479434947
1.0,4.170665740966797,4.086600081915808,4.179336071014404,4.164426565170288,4.17835807800293,4.185485601425171
